dmc_dB sigma2
-8.182927424036289921e+00 6.442363508721384024e-02
-7.906545514488556137e+00 6.865677777260398296e-02
-7.630163604940812583e+00 7.316807143427207782e-02
-7.353781695393079687e+00 7.797579279269578612e-02
-7.077399785845337021e+00 8.309941949353404078e-02
-6.801017876297603237e+00 8.855970901791447580e-02
-6.524635966749860572e+00 9.437878277775391123e-02
-6.248254057202126788e+00 1.005802157368041738e-01
-5.971872147654384122e+00 1.071891319205128673e-01
-5.695490238106641456e+00 1.142323062016348673e-01
-5.419108328558906784e+00 1.217382727739662052e-01
-5.142726419011165007e+00 1.297374407536606988e-01
-4.866344509463432111e+00 1.382622173764656293e-01
-4.589962599915688557e+00 1.473471392899946830e-01
-4.313580690367954773e+00 1.570290124729377401e-01
-4.037198780820212107e+00 1.673470613480749769e-01
-3.760816871272478767e+00 1.783430876931909326e-01
-3.484434961724736546e+00 1.900616399936988221e-01
-3.208053052177002318e+00 2.025501939230666404e-01
-2.931671142629259652e+00 2.158593446822417994e-01
-2.655289233081516986e+00 2.300430119772921556e-01
-2.378907323533783202e+00 2.451586584657043655e-01
-2.102525413986040981e+00 2.612675225563331760e-01
-1.826143504438306975e+00 2.784348665061447403e-01
-1.549761594890564087e+00 2.967302408188872698e-01
-1.273379685342830081e+00 3.162277660168379412e-01
